,id,lat,long,address,postcode,total port,detail,area,geometry,index_right,OBJECTID,L_HOOD,S_HOOD,S_HOOD_ALT,Shape__Are,Shape__Len,extracted,level,type
0,19235,47.622085,-122.347124,"516 Harrison Street, Seattle, WA, 98109",98109,6,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 6}]", Seattle,POINT (-122.347124 47.622085),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772)",2,EVPlug(J1772)
9,36018,47.6246042,-122.3593182,"200 West Mercer Street, Seattle, WA, 98119",98119,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3593182 47.6246042),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772)",2,EVPlug(J1772)
94,61182,47.625675,-122.346886,"500 5th Avenue North, Seattle, WA, 98109",98109,2,"[{'level': 2, 'name': 'Tesla', 'count': 2}]", Seattle,POINT (-122.346886 47.625675),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, Tesla",2,Tesla
96,61188,47.625378,-122.344596,"601 Roy Street, Seattle, WA, 98109",98109,2,"[{'level': 2, 'name': 'Tesla', 'count': 2}]", Seattle,POINT (-122.344596 47.625378),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, Tesla",2,Tesla
123,70247,47.623397,-122.345681,"500 5th Avenue North, Seattle, WA, 98109",98109,8,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 7}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.345681 47.623397),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
146,81046,47.623603,-122.3577595,"516 1St Avenue, West Seattle, WA, 98119",98119,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", West Seattle,POINT (-122.3577595 47.623603),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772)",2,EVPlug(J1772)
178,93678,47.619056,-122.352371,"200 2nd Avenue North, Seattle, WA, 98109",98109,4,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}, {'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.352371 47.619056),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"3, CCS & CHAdeMO, 3, CCS & CHAdeMO, 2, EV Plug (J1772)","3, 3, 2","CCS&CHAdeMO,CCS&CHAdeMO,EVPlug(J1772)"
187,101664,47.62482,-122.35829,"100 West MERCER Street, Seattle, WA, 98119",98119,3,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}, {'level': 3, 'name': 'CCS & CCS', 'count': 2}]", Seattle,POINT (-122.35829 47.62482),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"3, CCS & CHAdeMO, 3, CCS & CCS","3, 3","CCS&CHAdeMO,CCS&CCS"
191,104856,47.621378,-122.35362,"305 Thomas Street, Seattle, WA, 98109",98109,24,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 22}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.35362 47.621378),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
193,105675,47.623424,-122.345872,"500 5th Avenue North, Seattle, WA, 98109",98109,8,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 8}]", Seattle,POINT (-122.345872 47.623424),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772)",2,EVPlug(J1772)
211,117770,47.621304,-122.357684,"300 1st Avenue West, Seattle, WA, 98119",98119,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.357684 47.621304),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772)",2,EVPlug(J1772)
235,130006,47.622256,-122.356521,"400 Queen Anne Avenue North, Seattle, WA, 98109",98109,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.356521 47.622256),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772)",2,EVPlug(J1772)
253,135148,47.6215389,-122.3602985,"330 3rd Avenue West, Seattle, WA, 98119",98119,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.3602985 47.6215389),18,45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394,"2, EV Plug (J1772)",2,EVPlug(J1772)
1,20020,47.60420082169219,-122.3332506017354,"214 Columbia Street, Seattle, WA, 98104",98104,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3332506017354 47.60420082169219),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
2,21010,47.606684,-122.332664,"1000 4th Avenue, Seattle, WA, 98104",98104,3,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 3}]", Seattle,POINT (-122.332664 47.606684),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
8,35995,47.6048564,-122.3338286,"999 Third Avenue, Level A, Seattle, WA, 98104",98104,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3338286 47.6048564),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
15,36401,47.605192,-122.33285,"925 4th Avenue, Seattle, WA, 98104",98104,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 3}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.33285 47.605192),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
16,36557,47.611102,-122.334893,"520 Pike Street, Seattle, WA, 98101",98101,8,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.334893 47.611102),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
18,36653,47.611378281765,-122.3314401402,"705 Pike Street, Seattle, WA, 98101",98101,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.3314401402 47.611378281765),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
22,36919,47.604817,-122.330568,"701 5th Avenue, Seattle, WA, 98104",98104,8,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 7}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.330568 47.604817),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
24,37091,47.6072826,-122.3360929,"1201 Third Avenue
Suite 520, Seattle, WA, 98101",98101,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.3360929 47.6072826),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
27,37364,47.608495,-122.333054,"1200 5th Avenue, Seattle, WA, 98101",98101,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.333054 47.608495),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
32,37909,47.605599,-122.330626,"800 5th Avenue, Seattle, WA, 98104",98104,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.330626 47.605599),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
38,39534,47.614112,-122.333147,"809 Olive Way, Seattle, WA, 98101",98101,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.333147 47.614112),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
39,39664,47.60578,-122.331858,"901 Fifth Avenue, Seattle, WA, 98164",98164,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.331858 47.60578),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
42,40295,47.606279,-122.335205,"1000 2nd Avenue, Seattle, WA, 98104",98104,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.335205 47.606279),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
47,42062,47.607141,-122.333917,"1101 Fourth Avenue, Seattle, WA, 98101",98101,1,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.333917 47.607141),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
48,42900,47.6034418,-122.3339101,"719 Second Avenue, Seattle, WA, 98104",98104,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3339101 47.6034418),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772)",2,EVPlug(J1772)
54,46758,47.61002,-122.33542,"1415 5th Avenue, Seattle, WA, 98101",98101,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}, {'level': 2, 'name': 'Tesla', 'count': 2}]", Seattle,POINT (-122.33542 47.61002),35,62,Downtown,Central Business District,"Commercial Core, West Edge",9477398.61834717,18209.4628624588,"2, EV Plug (J1772), 2, Tesla","2, 2","EVPlug(J1772),Tesla"
